user_sn,Group,total_actions,unique_videos,actions_per_video,Cluster,Cluster_Label,PC1,PC2
70502,Group 1 (Initial),93.0,8.0,11.625,1,Low (低活躍),0.0232866298363219,-0.1992339012368551
130064,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
75072,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
177942,Group 1 (Initial),49.0,7.0,7.0,1,Low (低活躍),-0.1362727611619101,-0.2197495186338418
80753,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
80291,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
89352,Group 1 (Initial),219.0,14.0,15.642857142857142,1,Low (低活躍),0.3800624884694525,0.1140147466201801
98589,Group 1 (Initial),9.0,1.0,9.0,1,Low (低活躍),-0.2606893608354571,-0.5868804457749317
141726,Group 1 (Initial),22.0,3.0,7.333333333333333,1,Low (低活躍),-0.2359191320528413,-0.4570996070686486
27845,Group 1 (Initial),201.0,21.0,9.571428571428571,1,Low (低活躍),0.3632274452196486,0.5770528777109631
122013,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
98492,Group 1 (Initial),29.0,3.0,9.666666666666666,1,Low (低活躍),-0.1871805678705896,-0.4750662170480361
51787,Group 1 (Initial),667.0,45.0,14.822222222222225,0,Medium (中活躍),1.5556165390077508,1.9139810577974536
76036,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
239005,Group 1 (Initial),633.0,28.0,22.607142857142858,0,Medium (中活躍),1.361906536945843,0.8493625540999667
180313,Group 1 (Initial),859.0,42.0,20.452380952380956,0,Medium (中活躍),1.9011040997323247,1.6727649537899103
75936,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
147132,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
75170,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
75725,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
75493,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
189828,Group 1 (Initial),41.0,7.0,5.857142857142857,1,Low (低活躍),-0.1673206851989614,-0.2104419246055562
2784,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
124902,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
52398,Group 1 (Initial),634.0,12.0,52.833333333333336,1,Low (低活躍),1.601872721040172,-0.3249907197388433
80289,Group 1 (Initial),144.0,12.0,12.0,1,Low (低活躍),0.1720667942358485,0.0302329881421994
84244,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
51515,Group 1 (Initial),271.0,22.0,12.318181818181818,0,Medium (中活躍),0.5332125557481956,0.6085181561921296
52814,Group 1 (Initial),651.0,36.0,18.08333333333333,0,Medium (中活躍),1.442284835830455,1.356475241220965
86469,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
252831,Group 1 (Initial),39.0,5.0,7.8,1,Low (低活躍),-0.1703553167761826,-0.3434788817590839
93898,Group 1 (Initial),185.0,15.0,12.333333333333334,1,Low (低活躍),0.288811356357592,0.2016440988942918
93753,Group 1 (Initial),412.0,16.0,25.75,1,Low (低活躍),0.8778719054879287,0.1370721014278117
230106,Group 1 (Initial),4.0,1.0,4.0,1,Low (低活躍),-0.3494316975902162,-0.549490989920918
2068,Group 1 (Initial),21.0,3.0,7.0,1,Low (低活躍),-0.2428817840788772,-0.4545329485001647
121630,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
94149,Group 1 (Initial),311.0,32.0,9.71875,0,Medium (中活躍),0.710587294822344,1.2179576203171116
230963,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
229503,Group 1 (Initial),103.0,23.0,4.478260869565218,1,Low (低活躍),0.1583196385807082,0.7444019234841737
93669,Group 1 (Initial),231.0,22.0,10.5,1,Low (低活躍),0.4410069212280318,0.6263541176187072
80095,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
14047,Group 1 (Initial),216.0,12.0,18.0,1,Low (低活躍),0.3821607263377083,-0.0219631485260353
170622,Group 1 (Initial),638.0,42.0,15.19047619047619,0,Medium (中活躍),1.4690596958527835,1.7360689521940746
94092,Group 1 (Initial),175.0,20.0,8.75,1,Low (低活躍),0.2934603812713675,0.5265181634942625
170743,Group 1 (Initial),618.0,30.0,20.6,0,Medium (中活躍),1.337215453578764,0.9847608129418064
252023,Group 1 (Initial),130.0,15.0,8.666666666666666,1,Low (低活躍),0.143153432073764,0.234763202909894
98330,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
87196,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
93778,Group 1 (Initial),259.0,18.0,14.38888888888889,1,Low (低活躍),0.4852208387334427,0.3567034639353513
51943,Group 1 (Initial),257.0,22.0,11.681818181818182,0,Medium (中活躍),0.5009405836661383,0.6147607426914318
147021,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
14940,Group 1 (Initial),1218.0,24.0,50.75,0,Medium (中活躍),2.672866298689718,0.3391860380801111
169038,Group 1 (Initial),20.0,2.0,10.0,1,Low (低活躍),-0.2115794046645295,-0.5359956062811273
169177,Group 1 (Initial),630.0,40.0,15.75,0,Medium (中活躍),1.4342260312948938,1.6138890562943056
75777,Group 1 (Initial),120.0,10.0,12.0,1,Low (低活躍),0.1030648391415848,-0.0860483041177167
